no,case_number,property_type,auction_date,percentage,result,auction_count,appraised_value,minimum_bid_price,sale_price,sale_rate,number_of_bidders,land_m2,land_pyung,building_m2,building_pyung,image,full_address_jibun,b_code,h_code,region1,region2,region3,main_address_no,sub_address_no,apartment_block,floor,room,apartment_name,full_address_road,building_name,road_name,main_building_no,sub_building_no,postcode,latitude,longitude
710,2019-5963(1),아파트,2021-05-17,100,배당종결,0,745,745,961,129,13,36.58,11.07,59.9858,18.15,http://img1.speedauction.co.kr/new_gamimg/2021/A05/2019/5963/142946.jpg,서울 동대문구 용두동 794,1123010200,1123053600,서울,동대문구,용두동,794,,102동,8,804,,서울 동대문구 한빛로 73,용두롯데캐슬리치,한빛로,73,,02577,37.5791419092023,127.030991700968
711,2020-4690(1),아파트,2021-05-17,100,배당종결,0,860,860,974,113,4,71.388,21.59,114.926,34.77,http://img1.speedauction.co.kr/new_gamimg/2021/A05/2020/4690/146320.jpg,서울 성북구 안암동1가 361,1129012100,1129060000,서울,성북구,안암동1가,361,,112동,8,801,,서울 성북구 고려대로17가길 64,래미안 안암,고려대로17가길,64,,02843,37.5893064316483,127.023748974341
712,2020-105456(1),아파트,2021-05-17,100,배당종결,0,595,595,735,124,8,39.9951,12.1,59.65,18.04,http://img1.speedauction.co.kr/new_gamimg/2021/A05/2020/105456/29842_AUTO_959.jpg,서울 성북구 하월곡동 228,1129013600,1129071500,서울,성북구,하월곡동,228,,108동,2,202,,서울 성북구 오패산로16가길 40,꿈의숲 푸르지오,오패산로16가길,40,,02749,37.6107702871516,127.038993186153
713,2020-106145(1),아파트,2021-05-17,100,배당종결,0,143,143,157,110,4,7.5452,2.28,13.3244,4.03,http://img1.speedauction.co.kr/new_gamimg/2021/A05/2020/106145/157206.jpg,서울 중랑구 면목동 1543,1126010100,1126057000,서울,중랑구,면목동,1543,,108동,3,303,한양수자인사가정파크,서울 중랑구 사가정로72길 26,한양수자인사가정파크,사가정로72길,26,,02260,37.5800711747193,127.093430676323
714,2020-107049(1),아파트,2021-05-17,100,배당종결,0,569,569,606,107,5,38.01,11.5,84.97,25.7,http://img1.speedauction.co.kr/new_gamimg/2021/A05/2020/107049/149139.jpg,서울 중랑구 신내동 479,1126010600,1126068000,서울,중랑구,신내동,479,,3동,15,1502,중앙하이츠아파트,서울 중랑구 봉화산로56길 123,중앙하이츠아파트,봉화산로56길,123,,02070,37.6034907491923,127.098088211575
715,2020-107407(1),아파트,2021-05-17,100,배당종결,0,261,261,415,159,12,29.86,9.03,45.44,13.75,http://img1.speedauction.co.kr/new_gamimg/2021/A05/2020/107407/148916.jpg,서울 노원구 상계동 135,1135010500,1135067000,서울,노원구,상계동,135,,4동,4,402,한신아파트,서울 노원구 한글비석로46가길 16,한신1차아파트,한글비석로46가길,16,,01653,37.6660836140376,127.068667494845
716,2020-108035(1),아파트,2021-05-17,100,배당종결,0,510,510,564,111,1,31.74,9.6,49.5,14.97,http://img1.speedauction.co.kr/new_gamimg/2021/A05/2020/108035/148635.jpg,서울 노원구 하계동 274,1135010400,1135061100,서울,노원구,하계동,274,,708동,4,409,청솔아파트,서울 노원구 공릉로59길 25,청솔아파트,공릉로59길,25,,01831,37.6324803379916,127.071299559248
717,2020-6143(1),아파트,2021-05-13,100,배당종결,0,940,940,1,126,7,60.3014,18.24,131.3,39.72,http://img1.speedauction.co.kr/new_gamimg/2021/A04/2020/6143/54446.jpg,서울 구로구 구로동 1263,1153010200,1153056000,서울,구로구,구로동,1263,,110동,14,1402,롯데구로아파트,서울 구로구 새말로 31,신도림롯데아파트,새말로,31,,08291,37.5034982286456,126.88421007151
718,2020-1642(1),아파트,2021-05-11,80,배당종결,1,375,300,1,126,7,4.756,1.44,37.128,11.23,http://img1.speedauction.co.kr/new_gamimg/2021/A03/2020/1642/84473.jpg,서울 용산구 동자동 45,1117010700,1117053000,서울,용산구,동자동,45,,,32,3201,,서울 용산구 한강대로 372,센트레빌아스테리움서울,한강대로,372,,04323,37.5516713863735,126.973210049015
719,2020-103192(1),아파트,2021-05-11,100,배당종결,0,747,747,800,107,2,33.18,10.04,84.84,25.66,http://img1.speedauction.co.kr/new_gamimg/2021/A01/2020/103192/35731_AUTO_287.jpg,서울 관악구 봉천동 1698-1,1162010100,1162052500,서울,관악구,봉천동,1698,1,107동,9,905,보라매삼성아파트,서울 관악구 보라매로 62,보라매삼성아파트,보라매로,62,,08709,37.4941052853678,126.928177342998
